,Epoch,Loss,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100
0,1,21.148485313932767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9200000062739894,0.9200000040310644,0.9200000032834227,0.9200000029096018,0.9200000026853093,0.9200000025357811,0.9200000024289751,0.9200000023488706,0.9200000022865671,0.9200000022367244,0.9200000021959439,0.9200000021619602,0.9200000021332095,0.9200000021089135,0.920000002092256,0.9200000020875063,0.9200000020871463,0.9200000020727376,0.9200000019881241,0.9200000019376677,0.9200000019975072,0.9200000021149193,0.9200000021618936,0.9200000021959439,0.9200000022367244,0.9200000022865672,0.9200000023488706,0.9200000024289751,0.9200000025357811,0.9200000026853093,0.9200000029096018,0.9200000032834227,0.9200000040308645,0.9200000062053015,0.9200000197621842,0.9200002902622222,0.9200251579130886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,71.94379695934816,0.8804839089685619,0.8777914202633285,0.8809398825754341,0.8789623076529629,0.8769461729102697,0.8755047145370279,0.8744644701607558,0.8737109854798614,0.8731643566414314,0.8727673570800153,0.8724781029358731,0.8722665337908414,0.8721152347368174,0.9315662080172274,0.931550526161779,0.9315541151647386,0.9315757629505663,0.9316139416034757,0.9316656495996729,0.9317286973714344,0.9318024622103005,0.9318865358334895,0.9319729069338847,0.9320528069866599,0.9321445158905765,0.9322586165444322,0.9323998000386308,0.9325760422387473,0.9328028618817876,0.9331136861596999,0.9336055762023451,0.9345771513385748,0.8510292286109922,0.8495938296781937,0.8523665598916523,0.8671460042543602,0.9172050537444073,1.0127609849022494,1.0565422464014522,1.0531483453050792,1.0370576824546538,1.0174478997637948,0.9969571798138039,0.9760331611691916,0.9542977938698651,0.931423986190764,0.9086622187027703,0.8872972548818107,0.8642836188556358,0.8327650893068302,0.7778843092159711,0.7488562539366995,0.760717722159301,0.7791582162847427,0.7819456981802361,0.7817726452342963,0.7815475550622044,0.7812877681286793,0.78100892393816,0.780730876225707,0.7804640723932877,0.7802120204555306,0.779972583705235,0.7797364848541807,0.7794753067717668,0.7790307298485024,0.7777500888896383,0.7750438677392707,0.7802406775069178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,10,213.04181975209784,1.0309925281443966,0.8076066685152232,0.8200782313942444,0.8080596599727561,0.795093412262633,0.7852732181298938,0.7776075797643486,0.7716436028622022,0.7670415820233794,0.7635049715482246,0.7607924210153932,0.7587171273226855,0.7571906625297005,0.8159064352324609,0.8157554638706784,0.8158024138423116,0.8159917078380089,0.8162867269815418,0.816664590073915,0.8171059875602746,0.8175975058257435,0.8181225701754459,0.8186022114340806,0.8189509206737194,0.8192926732417053,0.8197027059987098,0.8202093939533099,0.8208576247351285,0.8217392930889851,0.82309308155124,0.825593079176661,0.831014145551415,0.7583416398415697,0.783268373251694,0.8351959015190497,0.9239613800265921,1.011718491830585,1.0776854323726288,1.1020163330903858,1.0782637721210746,1.0444017219893058,1.0114214810315139,0.9829739280649497,0.9609425012574435,0.9583279585454242,1.0961095004322012,1.0936408409491214,1.066379247398472,1.0323926075156296,0.9816254672666269,0.8262586365923125,0.6475956637371331,0.6783799198254664,0.7292538003889797,0.7321332091302448,0.7277323098485105,0.7249403968474194,0.7225140016015589,0.7197635676972851,0.7169263765447222,0.7142870880230134,0.7119420141588768,0.7098655889510568,0.7079557104859494,0.7059895610290126,0.7032412069563224,0.6983447131153383,0.6901134453048278,0.7025904646560184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,15,259.9718392558539,1.3646122303570234,0.8143726542318309,0.8023203717048101,0.7800206078219849,0.7585560055864036,0.7423423282784001,0.729407381116986,0.7191417849775161,0.7111144424463371,0.7048810615028551,0.7000583835833837,0.6963404942366489,0.6935892184482888,0.7516330524569248,0.7513760008200009,0.7514847891249753,0.751857254527272,0.7524307767575056,0.7531744812501745,0.754064073046461,0.755079042296488,0.7561861695960782,0.7572347441899057,0.7580776748131038,0.7589289946137546,0.7599189391499378,0.7611168877979019,0.7625891957236793,0.7644934062973551,0.7672746904493669,0.7722703889390736,0.783036950212166,0.72401102476056,0.7810193096062322,0.8910552140158673,1.0575028137972573,1.1485410265577545,1.076508915114458,1.0402652294848114,0.9934906069797472,0.9506029263158402,0.9152237971587233,0.8864877054731051,0.8629919129585184,0.8470603817928614,1.0662214111211457,1.1153286818633164,1.112419451570107,1.1023492193031377,1.0878368571990567,0.9386082786960548,0.6575030632157416,0.7014629125109115,0.7609073371686925,0.7433980167660106,0.7295189372219912,0.7231363514866013,0.7173988759934364,0.7103388331171919,0.7028380863325042,0.695805764529657,0.6895277521455487,0.6839195727689762,0.678675053362761,0.6733842436572046,0.6664082268070536,0.6565396336465598,0.6426073295732463,0.660328192758026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,20,267.38600056671334,1.722483878743353,0.8675591820709796,0.7988025638076559,0.7664191005066867,0.7390121436119738,0.7185328248227675,0.7020304004778293,0.6887946397743235,0.6783791669181929,0.67025419290119,0.6639444146236911,0.6590634989349823,0.6554394213123663,0.7129991649442029,0.7126748072401676,0.7128432367872667,0.7133728466367577,0.7141895746080975,0.7152622096023905,0.7165710449576452,0.7180920779800951,0.7197793517592075,0.721426761529684,0.7228496450617125,0.7243277968558749,0.7260334242973688,0.7281258751856623,0.7307038843391005,0.7340035991190222,0.7386478093988903,0.7465702656352222,0.7630612403754871,0.7181969105284084,0.8055849921681723,0.9672345523155389,1.2043464048438586,1.3189374103233518,1.1249745811082554,1.0260655396611906,0.9609202051806488,0.9142128376522541,0.8813506147903862,0.8580401798867727,0.8407467721791996,0.8218657528512339,1.0188324120111196,1.0744350195272951,1.0834610108552551,1.0908549521879252,1.1025628273479458,0.9693632765867198,0.6944933403807068,0.7869550519713898,0.843023071010698,0.7880573029579203,0.7613611708723065,0.752352507044389,0.7433127907405458,0.7313935538595646,0.7185624139241487,0.7064208594715504,0.6953941538136925,0.6852872981410978,0.6754738033092246,0.665424696054286,0.6519824508034773,0.6350929888205035,0.6144997065058286,0.6364247821528708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,25,263.7773548294899,2.0606210324986667,0.9490994069019243,0.8026949344183267,0.7600594421567345,0.7283051477564398,0.7049233626383908,0.685998885487785,0.6707241798968911,0.6586633428575454,0.6492338313121252,0.6418977403146677,0.6362125555810568,0.6319817521297201,0.6892024733108132,0.6888376818176409,0.6890599284401332,0.6897218534820133,0.6907513665704639,0.6921239495247372,0.6938327447661885,0.6958516754639451,0.698124658836411,0.7004040741777154,0.7024843891684283,0.7046920252711176,0.7072281375621913,0.7103627540106142,0.7142183505017025,0.719166452296592,0.7261904446468097,0.7381256641862947,0.7622271758031403,0.7333668248704728,0.8381835467648573,1.004025508391209,1.2380893281895236,1.2993876513240268,1.0299283186943313,0.9478483543889274,0.9333461493162064,0.9251024928121192,0.9131378118864744,0.8999712833385667,0.8884404007134026,0.8842446517669893,1.0365016648685166,1.0569646132356485,1.059460084043801,1.073299305503374,1.1025978146448188,0.9852771169434641,0.7132262400770969,0.8616203981222902,0.9321966516757584,0.8539326901819473,0.8162867997154891,0.8056536021348356,0.7935707379115386,0.7770826963005776,0.7591295071889136,0.7418510449996234,0.7257457606826658,0.7104879323145421,0.6950903244109086,0.6788032714787825,0.6560306692129007,0.628448091280688,0.5981920746698665,0.6246484868098605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,30,255.54822281747383,2.3675308675855917,1.0461035126189875,0.8111500356494826,0.7578581393829965,0.7227204791140114,0.6972882097561199,0.6766790292583275,0.6599770008508382,0.6467645503208613,0.6364250678819703,0.6283755852230731,0.6221318787735285,0.6174780003375154,0.6744608956394819,0.6740740196227332,0.674345439071445,0.675121595096393,0.6763410348750062,0.6779882845242933,0.6800737381520566,0.6825705791325768,0.6854184260702836,0.6883446950395281,0.6911402487890751,0.6941720714501595,0.6976725534436484,0.702033192030342,0.7073950480974175,0.7142508382779653,0.7238820796630012,0.73989785509057,0.7714969477436937,0.7584640971288407,0.8792794009689914,1.0495340418262071,1.2887343011145118,1.3179989930393339,0.9877135256767106,0.9173265387735079,0.9426417949721625,0.9622332146090059,0.9644082660507707,0.9585615073091104,0.9555706032561319,0.9886379683011234,1.1097457701478433,1.0661893737113912,1.046164074112121,1.0561455919801301,1.0924454984983687,0.9783660544811957,0.6902854886162639,0.8939946303017513,0.9872932090378561,0.9244076395860535,0.8890206400944792,0.8779225156731443,0.8651220127605798,0.8469831754010181,0.8265386995745001,0.8060909658751334,0.7860672994360804,0.7660031462203846,0.7446435964239141,0.7206099364982809,0.6847494414621035,0.6392585822101499,0.590913598894879,0.6246579713023784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,35,244.4536109762721,2.566817188701896,1.1175679680973143,0.821229178823504,0.7584738635645067,0.7203781306832616,0.6933087855212913,0.6714586742916157,0.6537271827051969,0.6396878179408202,0.6286975873201671,0.6201412469195284,0.613502590482844,0.6085489708342748,0.665362765938912,0.6649669673544164,0.6652858170124643,0.6661669390691846,0.6675663391966292,0.6694778889686268,0.6719332556903173,0.67490692732749,0.6783427440755296,0.6819619608455099,0.6855708547559782,0.6895797790587482,0.6942623051491591,0.7001078112464653,0.7072209116906759,0.7161270333066301,0.7282795291354663,0.7480479500615066,0.7870489861998389,0.7897567201431687,0.9203359665329245,1.0762318009032361,1.3035210848303025,1.299254209654164,0.9459398674331634,0.912106171324016,0.9670657336497811,0.998559281821125,1.0040461098930205,0.9976305220329141,0.991496435980121,1.0208876954884336,1.0849279213512908,1.0126657175295735,0.9870858820017558,0.9980300829520071,1.0338007759358345,0.8928659821030419,0.5583915966832723,0.8210885098046703,0.9285247072003189,0.957068964014578,0.9626586031296847,0.9530604235149385,0.9425055053003671,0.9272438368672161,0.909407294205755,0.8909866193749201,0.8719517734684252,0.8513601432127136,0.8275094606546645,0.7977315802651359,0.7486850697996958,0.6776813814962668,0.5949207126303958,0.6424311228701246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,40,233.94736993032694,2.4410863955980044,1.0483682119767688,0.8269961846982913,0.7620240600672338,0.7206030089294331,0.691678987564118,0.6687598850773977,0.6502614517392891,0.6356172650155247,0.624147126421556,0.6152179773706504,0.6082910635639547,0.6031190100046316,0.6598097313176466,0.6594152200129585,0.6597830457091637,0.660768359653618,0.6623505746696333,0.6645324968515642,0.6673730971890688,0.6708513436980453,0.6749268839734542,0.679333916858918,0.6839109480227924,0.6891111301206327,0.6952390600044863,0.7028084464859112,0.7118224009923181,0.7227611250122116,0.7372131133557236,0.7605851343292441,0.807724535846047,0.8272657383406569,0.9621300764210758,1.096164321719926,1.3147765738457977,1.292366887473953,0.9551701503466697,0.9640589097019452,1.0255861881164372,1.0491951626282001,1.046155168763766,1.032835861906732,1.0197240719984881,1.0399920972304666,1.056899542128864,0.9674595729395679,0.9424798089766114,0.9558290840614644,0.9905087732617829,0.8393385780880075,0.4913818485349774,0.7854149707209972,0.9031512330375155,0.9975721773279569,1.033027963252536,1.0268798333849787,1.0198514039588462,1.0092420778921682,0.9967405942352964,0.9837158908411705,0.9694996521282847,0.9525915641391475,0.9308099942334869,0.9001653586279668,0.8441124833273742,0.749856501406457,0.6185420719679618,0.6884222312472942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,45,227.63379148130514,2.4065573004631946,1.037509554189918,0.8366409411043814,0.7661570780304148,0.7218347864268706,0.6914385706349521,0.6676737835929987,0.6485609958111044,0.6334357327413217,0.6215902737570158,0.6123748712783893,0.6052295104312975,0.5998922127112502,0.6564904297373617,0.6561060380367103,0.6565279297559823,0.6576250549566661,0.6594061888267589,0.6618846384001681,0.6651582774760184,0.669217523333962,0.6740544605178816,0.6794315200810628,0.6852229028807076,0.6918982315070474,0.6997321962192603,0.7091458333596051,0.7200083911031825,0.7327269725738039,0.7491644104222447,0.776184697756934,0.8317346434801627,0.8659690914917733,0.9951889812399796,1.0952251687461083,1.2988362462540464,1.2527712567060174,0.9502758020741393,1.0199612724781837,1.083722450780011,1.0882970126839129,1.0634287394311808,1.031851986757956,1.0002941321711305,0.9826327883822553,0.9733096231972053,0.942807107649429,0.9354333425405932,0.9336141246563717,0.9586217718659389,0.8256018427448216,0.5154838311489197,0.7932970126695322,0.9071078171655049,1.0373515771091724,1.0911700832788556,1.0884549167731747,1.0843916260586643,1.078150550667728,1.0711322250744617,1.0640990424265004,1.0558771552276482,1.0446338273467077,1.0280689934263136,1.0018038493764374,0.9489714753085577,0.8490317891355198,0.6859333507425458,0.7820577680501727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
